Question,Answer,Score,Correct_Reference
Explain inorder traversal.,"You go left, then root, then right.",2,A traversal method that visits nodes in the order: Left Subtree; Root; Right Subtree.
Why does inorder traversal sort a BST?,Because it prints the values from smallest to biggest.,1,By visiting the left (smaller) node; then the root; then the right (larger) node; it follows the BST property.
What is a heap?,A heap is a tree where the root is always the maximum or minimum value.,1,A complete binary tree that satisfies the heap property (parent is always greater or less than children).
What is a max heap?,In max heap every parent is bigger than its children.,2,A heap where the root is the maximum and every parent node is >= its children.
What is a priority queue?,It is a queue that removes the most important element first.,2,An abstract data type where each element has a priority and higher priority is served first.
Why use a heap for priority queue?,Because heaps are sorted all the time.,0,Because heaps allow O(log n) insertion and O(log n) extraction of the max/min element.
What is hashing?,Hashing is turning a key into a number so we can find it faster.,2,The process of mapping data of arbitrary size to fixed-size values.
What is a collision?,When two keys get the same hash value.,2,When two different inputs produce the same hash output.
One way to solve collisions?,Using chaining or open addressing.,2,Techniques used to handle when different keys map to the same hash table index.
What is a graph?,A graph is nodes connected with edges.,2,A collection of vertices (nodes) and edges that connect pairs of vertices.
Directed vs undirected graph?,"In directed graphs edges have direction, in undirected they don’t.",2,Directed edges have a one-way orientation; undirected edges are two-way.
What is BFS?,BFS searches the graph level by level using a queue.,2,Breadth-First Search: explores all neighbor nodes at the present depth prior to moving to the next level.
What is DFS?,DFS goes deep in the graph until it can’t continue.,2,Depth-First Search: explores as far as possible along each branch before backtracking.
BFS vs DFS for shortest path?,DFS is better because it is faster.,0,BFS is better for shortest path in unweighted graphs as it visits levels in order of distance.
What is bubble sort?,Bubble sort compares nearby elements and swaps them if needed.,2,A simple sorting algorithm that repeatedly steps through the list; compares adjacent elements and swaps them.
Time complexity of bubble sort?,Bubble sort is O(n log n).,0,O(n²) in the average and worst cases.
What is merge sort?,Merge sort splits the array and then merges it back sorted.,2,A divide-and-conquer algorithm that divides the array; sorts the halves; and merges them.
Time complexity of merge sort?,Merge sort works in n log n time always.,2,O(n log n) for all cases (best; average; worst).
What is quick sort?,Quick sort chooses a pivot and sorts using fast sort method.,1,A divide-and-conquer algorithm that partitions an array around a pivot element.
Average complexity of quicksort?,Usually it is n log n but sometimes it can be slower.,2,O(n log n) average case.
Worst case of quicksort?,Worst case happens when pivot is always bad and it becomes n square.,2,O(n²) occurs when the pivot consistently results in highly unbalanced partitions.
Is quicksort stable?,"Yes, because it keeps order.",0,No; quicksort is generally not stable as it can swap equal elements during partitioning.
What is linear search?,Linear search checks every element until it finds the value.,2,A method for finding an element within a list by checking every element sequentially.
What is binary search?,Binary search cuts the array in half each time.,1,An efficient search algorithm that finds an element in a sorted array by repeatedly dividing the search interval in half.
Why must array be sorted for binary search?,So we know which half to ignore.,2,To ensure that comparing the middle element allows us to eliminate half of the search space.
What is recursion?,Recursion is when a function calls itself.,2,A method of solving a problem where the solution depends on solutions to smaller instances of the same problem.
Why do we need a base case?,To stop the recursion from running forever.,2,A condition that terminates the recursive calls and prevents infinite loops.
What is dynamic programming?,Dynamic programming is recursion but faster.,1,An optimization technique that solves complex problems by breaking them into overlapping subproblems and storing results.
What is memoization?,Saving results so we don’t calculate them again.,2,An optimization technique used to speed up programs by storing the results of expensive function calls.
What is worst-case complexity?,The slowest time the algorithm can take.,2,The upper bound on the resources required for an input of a given size.
What is amortized analysis?,It is the average time of one operation over many operations.,2,A method for finding the average running time per operation over a worst-case sequence of operations.
Why is algorithm efficiency important?,Because slow algorithms can crash or not finish on big inputs.,2,Ensures scalability and better performance on large datasets.
Time vs space tradeoff?,Sometimes we use more memory to make the algorithm faster.,2,The choice between using more memory to save time or more time to save memory.
What is a trie?,A trie is a tree that stores strings letter by letter.,2,A type of k-ary search tree used for locating specific keys from within a set (often prefix trees).
What is a balanced tree?,A tree where the left and right sides are almost the same height.,2,A tree where the height of subtrees for any node differs by no more than a specific value.
Name a self-balancing tree?,AVL or red black tree.,2,AVL Tree; Red-Black Tree; B-Tree.
What is a graph cycle?,When you can start at a node and come back to it.,2,A path where the first and last vertices are the same.
What is topological sort?,Sorting nodes by their value.,0,A linear ordering of vertices in a Directed Acyclic Graph (DAG) such that for every directed edge uv; u comes before v.
When is topological sort used?,For scheduling tasks with dependencies.,2,Task scheduling; build systems; and dependency resolution.
Can a cyclic graph be topologically sorted?,"Yes, if the cycle is small.",0,No; topological sorting is only possible for Directed Acyclic Graphs (DAGs).
What is Dijkstra algorithm?,It finds shortest path in graph using greedy approach.,2,An algorithm for finding the shortest paths between nodes in a graph with non-negative edge weights.
Limitation of Dijkstra?,It doesn’t work with negative edges.,2,It may produce incorrect results if the graph contains negative edge weights.
What is a spanning tree?,A tree that connects all vertices of a graph.,1,A subset of a graph that includes all vertices; is connected; and has no cycles.
What is counting sort?,A sorting algorithm that counts how many times each number appears.,2,A non-comparison sorting algorithm that counts occurrences of each unique element.
Complexity of counting sort?,O(n + k) where k is the range.,2,O(n + k) where n is number of elements and k is the range of input values.
Why isn’t counting sort comparison-based?,Because it doesn’t compare elements to each other.,2,It uses the numerical value of keys to determine their position in the output.
What is BFS data structure?,BFS uses stack.,0,BFS uses a Queue.
What is DFS data structure?,DFS usually uses recursion or stack.,2,DFS uses a Stack (explicit or via call stack).
Why recursion can be dangerous?,Too deep recursion can cause stack overflow.,2,Exceeding the memory limit of the call stack leads to program crashes.
What is O(1)?,Constant time that doesn’t depend on input size.,2,Execution time remains the same regardless of the input size.
What does O(n!) mean?,Very slow algorithm that grows extremely fast.,2,Factorial time complexity; typical of exhaustive search algorithms like Traveling Salesman.
What is hashing better than sorting?,Hashing is faster for searching usually.,1,Hashing offers O(1) average search time; while sorting for search (Binary Search) takes O(log n).
Why avoid premature optimization?,Because it makes code complicated before it’s needed.,2,Focusing on efficiency too early can lead to unreadable code and wasted effort on non-bottlenecks.
What is adjacency list?,Each node keeps a list of its neighbors.,2,A collection of unordered lists used to represent a finite graph.
Adjacency matrix disadvantage?,Uses too much memory for big sparse graphs.,2,O(V²) space complexity; which is inefficient for graphs with few edges.
What is heap insert complexity?,Log n because we fix the heap.,2,O(log n) because the new element may need to bubble up to the root.
What is heap used for?,Sorting arrays only.,0,Implementing priority queues; heapsort; and finding the k-th smallest/largest element.
What is merge step in merge sort?,Combining two sorted arrays into one sorted array.,2,Two pointers compare elements from two lists to build a single sorted list.
What is quicksort pivot?,The value that divides the array into two parts.,2,An element chosen to partition the array into smaller and larger elements.
What happens in bad pivot selection?,Quicksort becomes slow like n squared.,2,It results in highly unbalanced partitions (e.g.; splitting 1 element and n-1 elements).
Why linked list is bad for binary search?,Because you cannot access middle directly.,2,Lack of O(1) random access makes the cost of finding the middle O(n).
What is a deque used for?,Situations where you need stack and queue together.,2,Sliding window problems; undo-redo operations; and job stealing algorithms.
What is graph traversal?,Visiting all nodes in the graph.,2,The process of visiting (checking/updating) each vertex in a graph.
Difference between BFS and DFS?,BFS is recursive and DFS is iterative.,0,BFS uses a queue (FIFO) for level-order exploration; DFS uses a stack (LIFO) for path-first exploration.
What is algorithm correctness?,When the algorithm always gives the right answer.,2,An algorithm is correct if; for every input instance; it halts with the correct output.
What is a greedy algorithm?,An algorithm that always chooses the best option now.,2,An algorithmic paradigm that follows the problem-solving heuristic of making the locally optimal choice at each stage.
Is greedy always optimal?,"Yes, because it chooses the best choice.",0,No; it does not always lead to a globally optimal solution (e.g.; Knapsack problem).
What is NP?,Problems that are impossible to solve.,0,Nondeterministic Polynomial time: the set of decision problems where a 'yes' answer can be verified in polynomial time.
What is polynomial time?,Algorithms that run in time like n squared or n cubed.,1,Complexity where the execution time is O(n^k) for some constant k.
Why is O(n log n) better than O(n²)?,Because it grows slower for large n.,2,The growth rate of n log n is significantly lower than n squared for large inputs.
What is stable sort?,A sort that keeps equal elements in same order.,2,A sort that preserves the relative order of records with equal keys.
Is merge sort stable?,"Yes, because it doesn’t swap equal elements.",2,Yes; because the merge process is usually implemented to pick the left element first if equal.
Is quicksort stable?,"No, it can change the order of equal elements.",2,No; the partitioning process typically involves non-local swaps that disrupt relative order.
What is memory locality?,Accessing memory close to each other.,2,The tendency of a processor to access the same set of memory locations repetitively over a short period of time.
Why quicksort is fast in practice?,Because it uses cache well and less memory.,2,Due to high cache locality and in-place partitioning which requires O(log n) extra space.
What is a base case example?,"In factorial, when n equals 1 return 1.",2,A simple case that can be solved directly without further recursion.
What is Fibonacci DP?,Calculating Fibonacci numbers while saving old results.,2,Using a table to store F(n) results to avoid redundant recursive calculations.
What is algorithm design goal?,To solve problems efficiently and correctly.,2,To find the most efficient (time/space) and correct solution to a computational problem.
Why study data structures?,Because they help algorithms work faster and better.,2,Efficient data structures are key to designing efficient algorithms and managing data effectively.
